Item,Descrição,Embalagem,TIPO
224994,MP BOLO LEITE CONDEN SECO (LINHA 411) - 1kg,,MATERIA PRIMA
226413,MP BOLO LIMAO SECO (LINHA 411) - 1kg,,MATERIA PRIMA
226512,MP BOLO MILHO SECO (LINHA 411) - 1kg,,MATERIA PRIMA
225814,MP BOLO NEUTRO SECO (LINHA 411) - 1kg,,MATERIA PRIMA
1114,MP CAKE CENOURA (LINHA 411) - 1,,MATERIA PRIMA
164861,MP CHURROS DOCE DE LEITE (LINHA 411) - 1kg,,MATERIA PRIMA
162866,MP MINI BISCOITO DE QUEIJO (LINHA 411) - 1,,MATERIA PRIMA
258808,MP PALITINHO DE TAPIOCA KG (LINHA 411) - KG,,MATERIA PRIMA
4722,MP PAO DE LO BAUNILHA (LINHA 411) - 300g,,MATERIA PRIMA
269725,MP PAO DE LO CHOCOLATE (LINHA 411) - 1kg,,MATERIA PRIMA
4723,MP PAO DE LO CHOCOLATE (LINHA 411) - 300g,,MATERIA PRIMA
269724,MP PAO DE LO NEUTRO (LINHA 411) - 1kg,,MATERIA PRIMA
257019,MP PASTEL DE MILHO CARNE (LINHA 411) - 1kg,,MATERIA PRIMA
225451,MP PASTEL DE MILHO PIZZA (LINHA411) - 1kg,,MATERIA PRIMA
225453,MP PASTEL DE MILHO QUEIJO (LINHA 411) - 1kg,,MATERIA PRIMA
133567,MP PASTEL DE NATA (LINHA 411) - 75g,,MATERIA PRIMA
222911,PASTA PRE MISTURA PANETONE (LINHA 411) - 1kg,,MATERIA PRIMA
138064,PM PANETTONE EM PO CHOCO (LINHA 411) - KG,,MATERIA PRIMA
2851,PRE MIX CAKE PAO DE MEL (LINHA 411) - KG,,MATERIA PRIMA
223458,UVA PASSA (LINHA 411) - 1kg,,MATERIA PRIMA
3069,ABOBRINHA ITALIANA PADARIA (LINHA 412) - KG,,MATERIA PRIMA
254888,ACAFRAO MOIDO (LINHA 412) - 1kg,,MATERIA PRIMA
259454,ALECRIM KG (LINHA 411) - KG,,MATERIA PRIMA
225704,ALHO IN NATURA (LINHA 412) - 1kg,,MATERIA PRIMA
222745,ALHO TRITURADO S/SAL (LINHA 412) - 3kg,,MATERIA PRIMA
227124,AMEIXA SECA (LINHA 412) - 1kg,,MATERIA PRIMA
222766,AZEITE PRODUCAO (LINHA 412) - KG,,MATERIA PRIMA
225454,AZEITONA VERDE FATIADA (LINHA 412) - 1kg,,MATERIA PRIMA
225479,BATATA ESCOVADA (LINHA 412) - 1kg,,MATERIA PRIMA
7699,BATATA PALHA (LINHA 412) - 1kg,,MATERIA PRIMA
226703,BERINJELA PADARIA KG (LINHA 412) - KG,,MATERIA PRIMA
222772,"CALDO DE CARNE (LINHA 412) - 1,1kg",,MATERIA PRIMA
222739,CALDO DE GALINHA (LINHA 412) - 1kg,,MATERIA PRIMA
225124,CALDO DE LEGUMES (LINHA 412) - 1kg,,MATERIA PRIMA
223499,CANELA EM PO (LINHA 412) - 1kg,,MATERIA PRIMA
228264,CEBOLA DESIDRATADA  (LINHA 412) - 1kg,,MATERIA PRIMA
222769,CEBOLA PRODUCAO (LINHA 412) - 1kg,,MATERIA PRIMA
225289,CEBOLINHA DESIDRATADA (LINHA 412) - 500g,,MATERIA PRIMA
222795,CEBOLINHA FRESCA (LINHA 412) - 1kg,,MATERIA PRIMA
170750,CENOURA ( LINHA 412) - Kg,,MATERIA PRIMA
7830,CHAMPIGNON FATIADO (LINHA 412) - 1kg,,MATERIA PRIMA
220018,COLORIFICO (LINHA 412) - KG,,MATERIA PRIMA
259133,COUVE PICADA PADARIA (LINHA 412) - KG,,MATERIA PRIMA
222866,CREME DE CEBOLA (LINHA 412) - 1kg,,MATERIA PRIMA
226829,ERVA DOCE (LINHA 412) - 1kg,,MATERIA PRIMA
165221,ERVILHA (LINHA 412) - Kg,,MATERIA PRIMA
164511,GERGELIM (LINHA 412) - 1kg,,MATERIA PRIMA
222771,GLUTAMATO (LINHA 412) - 1kg,,MATERIA PRIMA
225208,HORTELA DESIDRATADO (LINHA 412) - 1kg,,MATERIA PRIMA
7828,KETCHUP (LINHA 412)  - 1kg,,MATERIA PRIMA
257021,LARANJA BAIANA KG (LINHA 412) - 1kg,,MATERIA PRIMA
84467,LARANJA PRODUCAO KG (LINHA 412) - KG,,MATERIA PRIMA
225816,LIMAO PRODUCAO (LINHA 412) - 1,,MATERIA PRIMA
254884,LOURO EM PO (LINHA 412) - 1kg,,MATERIA PRIMA
226709,MAIONESE PRODUCAO (LINHA 412) - 1kg,,MATERIA PRIMA
222733,MANJERICAO DESIDRATADO (LINHA 412) - 1kg,,MATERIA PRIMA
227125,MARACUJA PRODUCAO (LINHA 412) - 1kg,,MATERIA PRIMA
254885,MASSA P/LASANHA (LINHA 412) - 1kg,,MATERIA PRIMA
7703,MEL PRODUCAO (LINHA 412) - 1,,MATERIA PRIMA
222254,"MILHO VERDE (LINHA 412) - 1,7kg",,MATERIA PRIMA
226803,MOLHO DE TOMATE (LINHA 412) - 1,,MATERIA PRIMA
7829,MOSTARDA (LINHA 412) - KG,,MATERIA PRIMA
225234,NOZES S/CASCA (LINHA 412) - 1kg,,MATERIA PRIMA
208577,OREGANO (LINHA 412) - 1kg,,MATERIA PRIMA
225125,PALMITO PICADO (LINHA 412) - 1kg,,MATERIA PRIMA
222616,PIMENTA CALABRESA (LINHA 412) - 1kg,,MATERIA PRIMA
222604,PIMENTA PRETA -PIMENTA REINO(LINHA 412) - 1,,MATERIA PRIMA
222603,PIMENTA SIRIA (LINHA 412) - 1kg,,MATERIA PRIMA
226808,PIMENTAO AMARELO PRODUCAO (LINHA 412) - 1kg,,MATERIA PRIMA
226807,PIMENTAO VERDE PRODUCAO (LINHA 412) - 1kg,,MATERIA PRIMA
180167,PIMENTAO VERMELHO PADARIA (LINHA 412) - KG,,MATERIA PRIMA
266405,SACHET KETCHUP (LANCHONETE) - 7g,,MATERIA PRIMA
266406,SACHET MAIONESE (LANCHONETE) - 7g,,MATERIA PRIMA
266407,SACHET MOSTARDA (LANCHONETE) - 7g,,MATERIA PRIMA
225288,SALSA DESIDRATADA (LINHA 412)  - 500g,,MATERIA PRIMA
222732,SEMENTE DE CHIA KG (LINHA 412) - 1kg,,MATERIA PRIMA
227254,SEMENTE DE GIRASSOL (LINHA 412) - 1kg,,MATERIA PRIMA
227020,SUCO CONC. MARACUJA (LINHA 412) - 1L,,MATERIA PRIMA
257022,TANGERINA MORCOT KG (LINHA 412) - 1kg,,MATERIA PRIMA
225178,TEMPERO ALHO EM PO (LINHA 412) - 900g,,MATERIA PRIMA
226806,TOMATE PRODUCAO (LINHA 412) - 1kg,,MATERIA PRIMA
225455,TOMATE SECO (LINHA 412) - 1kg,,MATERIA PRIMA
223066,CLARA LIQUIDA (LINHA 413)  - 1L,,MATERIA PRIMA
269680,EASILLY GLAZE UHT (LINHA 413) - 1L,,MATERIA PRIMA
222759,GEMA LIQUIDA (LINHA 413) - 1L,,MATERIA PRIMA
222611,OVO LIQUIDO (LINHA 413)   - 1L,,MATERIA PRIMA
226809,OVO PRODUCAO (LINHA 320) - 1un,,MATERIA PRIMA
