Item,Descrição,Embalagem,TIPO
8478,BOLO GELADO DE COCO UN  - 120g,,CONFEITARIA
4817,BOLO INDIANO UN - 250g,,CONFEITARIA
266328,BOLO PREMIUM NOZES - 1un,,PRODUTO
7818,BRIGADEIRAO ALVORADA UN - 350g,,CONFEITARIA
3928,CACAROLA ITALIANA UN - 300g,,CONFEITARIA
1165,CAKE DE CENOURA TRUFADO C/AVELA ALVORADA - 250g,,CONFEITARIA
2552,CAKE PAO DE MEL ALVORADA UN - 250g,,CONFEITARIA
3924,CREME HOLANDES UN - 150g,,CONFEITARIA
2888,MANJAR DE COCO UN 150g - 150g,,CONFEITARIA
2804,MANJAR DE COCO UN 600g - 600g,,CONFEITARIA
1666,MOUSSE DE CHOCOLATE  ALVORADA KG - 1,,CONFEITARIA
3920,MOUSSE DE CHOCOLATE UN 150g - 150g,,CONFEITARIA
2526,MOUSSE DE CHOCOLATE UN 600g - 600g,,CONFEITARIA
3919,MOUSSE DE MARACUJA UN 200g - 200g,,CONFEITARIA
2389,MOUSSE DE MARACUJA UN 600g - 600g,,CONFEITARIA
8817,OVO DE PASCOA MORANGO 250g - 250g,,PRODUTO
8177,OVO DE PASCOA NEGRESCO 250g - 250g,,PRODUTO
2853,PALHA ITALIANA UN - 250g,,PRODUTO
1342,PAO DE ALHO ALVORADA - 300g,,PRODUTO
2896,PUDIM GRANDE UN 750G - 750g,,CONFEITARIA
2877,PUDIM PEQUENO UN - 95g,,CONFEITARIA
2879,QUINDIM UN - 100g,,CONFEITARIA
1032,ROCAMBOLE  KG - 1,,CONFEITARIA
7946,ROCAMBOLE DE PRESTIGIO FATIADO UN - 350g,,CONFEITARIA
7945,ROCAMBOLE DE PRESTIGIO UN - 350g,,CONFEITARIA
4402,ROCAMBOLE DOCE DE LEITE FATIADO UN - 350g,,CONFEITARIA
2902,ROCAMBOLE DOCE DE LEITE UN - 350g,,CONFEITARIA
2903,ROCAMBOLE GOIABADA CD UN - 500g,,CONFEITARIA
7224,TRONQUINHO CASEIRO CHOCOLATE KG - 1,,PRODUTO
4729,BOLO CONFEITADO AVELA UN - 900g,,PRODUTO
9955,BOLO CONFEITADO DOCE DE LEITE UN - 900g,,PRODUTO
7223,BOLO CONFEITADO FLOCOS UN - 900g,,PRODUTO
2840,BOLO CONFEITADO MARACUJÁ UN - 900g,,PRODUTO
2519,BOLO CONFEITADO PISTACHE UN  - 900g,,PRODUTO
2533,BOLO GOURMET CHOCOLATE C/CREME AVELA - 600g,,PRODUTO
3988,BOLO GOURMET LETINHO C/NOZES ALVORADA UN - 600g,,PRODUTO
4973,BOLO PREMIUM 4 LEITES UN - 800g,,PRODUTO
5579,BOLO PREMIUM CHOCOLATE UN - 800g,,PRODUTO
3522,BOLO PREMIUM COCO UN  - 800g,,PRODUTO
9828,BOLO PREMIUM NOZES UN - 800g,,PRODUTO
4379,CHURROS DOCE DE LEITE KG - 1,,PRODUTO
9371,PASTEL DE NATA UN - 75g,,PRODUTO
2564,TORTA GOURMET ALVORADA SABORES KG - 1,,PRODUTO
2911,TORTA GOURMET BUENO ALVORADA UN - 450g,,PRODUTO
2909,TORTA GOURMET DE CREME MORANGO UN - 500g,,PRODUTO
2919,TORTA GOURMET LEITINHO C/COOKIES - 500g,,PRODUTO
5597,TORTA GOURMET LIMÃO UN  - 450g,,PRODUTO
2544,TORTA HOLANDESA ALVORADA UN - 400g,,PRODUTO
7826,ALMONDEGA DE CARNE ALVORADA CONG. - 450g,,PRODUTO
8807,CALDO DE ERVILHA UN - 500g,,PRODUTO
8380,CALDO DE FEIJAO UN - 500g,,PRODUTO
5912,CALDO DE MILHO UN - 500g,,PRODUTO
8382,CALDO VERDE UN - 500g,,PRODUTO
259138,COSTELINHA BARBECUE ALVORADA CONG UN - 450g,,PRODUTO
2825,COXA E SOBRECOXA C/PURE ALVORADA - 600g,,PRODUTO
2838,ESCONDIDINHO DE CARNE ALVORADA CONG 600G - 600g,,PRODUTO
2839,ESCONDIDINHO DE FRANGO ALVORADA CONG. - 600g,,PRODUTO
2554,FEIJAO TROPEIRO ALVORADA CONGELADO UN - 450g,,PRODUTO
8435,FEIJOADA ALVORADA UN  - 700g,,PRODUTO
7695,FRICASSE DE FRANGO ALVORADA CONG. 600G - 600g,,PRODUTO
